INV	this is October sixteenth, nineteen seventy six, a second visit,
FAT	before she falls coming outof it .. she sees the cat .
CHI	0 ! giggles .
FAT	look at that cat's face now .
FAT	he's still trying to run away .
FAT	and .
FAT	the policeman isn't very happy .
FAT	and .
FAT	the girl isn't very happy .
FAT	so .
FAT	the policeman helps the little girl down outof the pipe .
FAT	she's about to step on her .. pearls .
FAT	look at  that .
CHI	yeah  .
FAT	she's gonna step on those pearls .
FAT	so .
FAT	the policeman's helping her down .
FAT	and uh oh .
FAT	she falls .
FAT	boom .
FAT	right on the policeman and knocks him over again .
FAT	and .
FAT	his hat falls off .
FAT	and .
FAT	her hat falls off .
FAT	and .
FAT	look .
FAT	the cat's coming back .
FAT	the cat's coming back down to see what's happened .
FAT	and .
FAT	they both fall .
FAT	they go splash .
FAT	it looks like there's water there .
FAT	right ?
CHI	0 .
FAT	see the little waves coming in ?
FAT	and look .
FAT	the cat goes back into the pipe .
FAT	and they're all wet .
FAT	but .
FAT	they see the cat's coming .
FAT	look .
FAT	her hat fell on his head .
CHI	yeah .
FAT	isn't that funny ?
FAT	oh , well .
FAT	so .
FAT	now they go up .
FAT	and .
FAT	they're gonna chase the cat again .
FAT	and .
FAT	they chase him throught  throughout the pipe .
FAT	first the little girl goes in .
FAT	and .
FAT	now the little boy goes in .
FAT	and .
FAT	then look .
FAT	they get to the other end of the pipe .
FAT	and .
FAT	the second little boy has caught the cat .
FAT	and .
FAT	he's about to give it back to them .
FAT	but the cat . jumps up on the policeman's head .
FAT	and .
FAT	look at that !
FAT	and .
FAT	he's scratching at him , and pawing at him , and tickling him .
FAT	just like that .
FAT	and .
FAT	he's climbing all over him .
FAT	and .
FAT	the little policeman can't do anything about it .
FAT	that's what happened .
FAT	and .
FAT	the mommy is angry at the little boy .
FAT	she's pulling his ear .
FAT	I don't know why that's xxx ! gasp .
FAT	because the little boy put the cat on the policeman's head .
FAT	that was a silly thing to do .
CHI	yeah .
FAT	and .
FAT	now the cat goes running up a tree .
FAT	and .
FAT	that little policeman is really mad .
FAT	look at his face .
FAT	it's scratched now by the cat .
FAT	you wouldn't like it if a cat went .
FAT	 scratch , scratch , scratch .
FAT	is that like what Rover does to you ?
CHI	yeah .
FAT	go .
FAT	 scratch , scratch , scratch ?
CHI	yeah .
CHI	sometimes he does that .
FAT	is Rover a yellow cat ?
CHI	no .
FAT	I've never seen a yellow cat like that before .
FAT	so .
FAT	the policeman is chasing up the cat  the cat up the tree .
FAT	and .
FAT	the cat goes to another branch .
FAT	and .
FAT	the mommy is crying cause she thinks the cat is going to escape .
FAT	and .
FAT	the little boy is pointing up at what's happening .
FAT	all of a sudden the policeman finally catches the cat right behind
FAT	right like that .
FAT	xxx .
FAT	cat's aren't ticklish right back there .
FAT	not like you .
FAT	and .
FAT	look .
FAT	the boy who's happy over here ...
FAT	now he's sticking out his tongue .
FAT	and .
FAT	the  the little girl who's sad over here ...
FAT	and .
FAT	now she's smiling .
FAT	that's funny .
FAT	the girl gets happier ! gasp .
FAT	but .
FAT	that branch isn't big enough for everybody .
FAT	and .
FAT	the boy lost his balance .
FAT	and .
FAT	he dropped the cat .
FAT	and .
FAT	the mommy caught the cat .
FAT	but .
FAT	look .
FAT	that branch is breaking ! gasp .
FAT	and .
FAT	down comes the policeman .
FAT	kerplunko .
FAT	and .
FAT	he lands on the second little boy .
CHI	yeah .
FAT	look .
FAT	the leaves are falling down .
FAT	and .
FAT	the branch is falling down .
FAT	oh .
FAT	it looks like the little policeman hurt his foot cause he's using
CHI	mhm .
FAT	and .
FAT	here comes the cat . and the policeman . and the mommy .
FAT	and .
FAT	the little boy is in the carriage all of a sudden .
FAT	oh .
FAT	that's funny cause the cat bed there at the beginning .
FAT	so .
FAT	they finally get home .
FAT	and .
FAT	there's the policeman sitting down .
FAT	and .
FAT	he doesn't look too happy .
FAT	and .
FAT	here's the little boy , in the carriage .
FAT	and .
FAT	he's had fun time .
FAT	and .
FAT	here's the cat .
FAT	and the mommy's going off into the house .
FAT	look .
FAT	what happens at the end ! gasp ?
FAT	what is she wearing now ?
FAT	what ?
CHI	pretending that's she's a nurse .
FAT	she's pretending to be a nurse .
FAT	hi  .
INV	hi  Mr A .
INV	my name is Janet Fardella .
INV	I'm also associated with this project .
FAT	hi .
INV	hi Izzy .
FAT	hi .
INV	I have a present for you Izzy .
INV	that's for today's visit .
FAT	oh .
FAT	look at that .
INV	do you know what that is ?
INV	who is that ?
FAT	who is that ?
INV	do you wanna try it , Izzy ?
FAT	do you wanna try the puppet ?
FAT	what ?
FAT	what ?
FAT	I think she's being shy .
FAT	do you want me to try it ?
FAT	is that what you're saying ?
FAT	is that what you're telling me ?
FAT	what ?
FAT	yes .
FAT	shake your head .
FAT	why're you ...
FAT	why all of a sudden ...
INV	we're all done with this part of your visit  .
FAT	yeah  .
INV	and right now . if you would accompany me to the room next door .
INV	I'm gonna ask you some questions .
INV	and Sandy's gonna come in and ask Izzy some questions and play some
INV	does that sound good , Iz ?
FAT	is that okay ?
FAT	okay  .
CHI	mhm  .
FAT	this is a nice present .
FAT	I was just asking about that sparkler you got the last time .
FAT	right ?
FAT	maybe we could still find it .
FAT	yeah xxx .
INV	is it still working ?
FAT	yeah .
INV	amazing .
FAT	well .
FAT	it  it got alotof use for  for the first couple of hours .
FAT	and then it got put away for a while and ...
FAT	because it was ...
FAT	it  it can  it can do wonders to furniture on the edges .
INV	hmm .
INV	hmm .
FAT	yeah .
INV	never thought about that .
FAT	cmon .
FAT	oh .
FAT	uh .
FAT	Sandy's coming in here .
INV	yeah .
INV	wait one second .
FAT	okay .
INV	I'll be back in a minute .
FAT	I didn't realize this bed such a big mirror , Izzy .
FAT	look at that .
CHI	xxx .
INV	okay ?
INV	okay , Izzy .
INV	Sandy Izzy , wanna play some games with me ?
INV	I have some games I wanna play with you now .
INV	Janet we'll be back later , Izzy .
INV	okay ?
CHI	byebye .
